规则类别,适用对象,详细规则描述,特殊说明/生效时间
优惠券分类,全品类满减券,用户下单金额满100元可使用，实付金额减免20元，不可与店铺券叠加使用。,每月限领2张，有效期30天
优惠券分类,全品类折扣券,全场商品通用9折券，特价商品、虚拟商品除外。单笔订单最高优惠50元。,仅限APP端使用
优惠券分类,品类专属券,仅限手机、电脑、数码配件类目使用，满500减100。,数码大促期间发放
优惠券分类,无门槛运费券,抵扣单笔订单基础运费（最高免8元），偏远地区需补差价。,新用户注册自动发放
优惠券分类,新人专享券,注册后3天内可用，首单满10元减9元，无品类限制。,仅限实名认证用户
优惠券分类,限时秒杀券,整点秒杀活动专属，商品页面直接抵扣，不支持与其他任何优惠叠加。,过期作废，不补发
优惠券分类,大促跨店满减,双十一/618期间，跨店铺满300减50，上不封顶，支持合并付款。,大促预热期不生效
优惠券分类,会员生日券,VIP3及以上会员生日当月发放，全场8折，部分联名款除外。,需提前在个人中心填写生日
优惠券分类,退款专用券,因缺货导致退款时，系统自动下发10元无门槛补偿券。,下发后7日内有效
优惠券分类,拉新奖励券,成功邀请一位新用户注册并完成首单，邀请人获得30元无门槛券。,作弊刷单将封禁账号
发货时间规则,普通现货商品,付款成功后，系统将在24小时内完成拣货，48小时内完成包裹发出（遇节假日顺延）。,发货后会有短信通知
发货时间规则,预售模式商品,支付定金后不发货，需在尾款支付时间结束后72小时内统一发货。,定金不支持退款
发货时间规则,大件物流商品,家具、大家电等大件商品，付款后3-5个工作日内由专车配送，需电话预约上门时间。,不含送货上楼安装
发货时间规则,海外直邮商品,海外仓直发，预计下单后7-15个工作日送达，清关时间不计入内。,如遇海关抽查可能延迟
发货时间规则,定制类商品,印字、刻字等个性化定制商品，确认设计稿后5-7个工作日发货。,一经定制，非质量问题不退换
发货时间规则,拼团商品,拼团成功前不发货；拼团成功后，按照普通现货商品的发货时间规则执行。,拼团失败自动退款
发货时间规则,虚拟商品,话费充值、会员充值等虚拟商品，系统实时自动发货，无需物流配送。,部分银行通道可能有几分钟延迟
节假日发货规则,春节假期,腊月二十八至正月初六期间暂停发货，初七起按订单付款时间先后顺序陆续发出。,假期期间客服仅提供自助服务
节假日发货规则,国庆黄金周,10月1日至10月7日，普通商品暂停发货，预售及虚拟商品不受影响。,9月30日及之前的订单会加急发出
节假日发货规则,双十一大促,11月1日至11月13日为发货高峰期，普通现货可能延迟至72小时内发货。,请耐心等待，勿重复催单
节假日发货规则,极端天气,遇到台风、暴雪等不可抗力导致快递停运，发货时间将顺延，恢复后第一时间发出。,请关注物流轨迹更新
退换货规则,七天无理由,签收后7天内，商品完好、不影响二次销售的情况下，支持无理由退换货。,美妆、内衣、食品等特殊商品除外
退换货规则,质量问题退换,收到商品存在破损、漏液、故障等质量问题，支持7天无理由退货且免运费。,需提供开箱视频或照片凭证
退换货规则,退货运费承担,因买家个人原因退换货，运费由买家承担；因质量问题或发错货，运费由平台/商家承担。,退回时请使用原包装
保价与售后规则,保价服务,购买标有"保价"标签的商品，若下单后7天内降阶，可申请补差价（不含优惠券抵扣部分）。,大促期间保价期可能缩短为15天
保价与售后规则,家电三包政策,家用电器享受国家三包政策：7天包退，15天包换，一年内保修（部分品牌延长至三年）。,需提供有效购买凭证
保价与售后规则,配件保修,手机、电脑等数码产品的原装配件（电池、充电器）保修期为半年。,人为损坏不在保修范围内
积分与会员规则,积分获取规则,每消费实付1元积1分，评价带图追加积10分，每日签到积2分。,使用优惠券支付的部分不计入积分
积分与会员规则,积分抵扣规则,结算时可用积分抵扣现金，100积分=1元，单笔订单最多抵扣订单金额的30%。,积分支付部分不开发票
积分与会员规则,会员等级划分,普通会员(0-999分)、银卡(1000-4999分)、金卡(5000-19999分)、钻石(20000分以上)。,每年末根据累计积分重新评级
